"course_id","university_id","source_document_id","indicator_id","indicator_label","priority","trigger_reason","auto_observed","auto_location_type","auto_local_findability","auto_confidence","auto_evidence_text","auto_evidence_url","auto_evidence_selector","auto_evidence_document_type","auto_notes","evidence_artifact_path","rendered_screenshot_path","target_url","reviewer_decision","reviewer_observed","reviewer_location_type","reviewer_local_findability","reviewer_confidence","reviewer_evidence_text","reviewer_evidence_url","reviewer_notes","reviewer_id","reviewed_at"
"C007","UNI04","SD0015","contacts","Contact / tutor / orientation / course office","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","Orientamento","https://www.unifi.it/it/node/6520",".orientamento","html","","artifacts/journeys/J007_C007_scienze-umanistiche-per-la-comunicazione/source/SD0015.html","","https://www.unifi.it/it/node/6520","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
"C009","UNI05","SD0019","course_title","Course title","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","SCIENZE DELLA COMUNICAZIONE |","https://scienze-comunicazione.unisi.it/it","title|h1","html","","artifacts/journeys/J009_C009_scienze-della-comunicazione/source/SD0019.html","","https://scienze-comunicazione.unisi.it/it","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
"C009","UNI05","SD0019","degree_level","Degree level","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","open_day_2020_laurea_triennale_in_scienze_della_comunicazione","https://scienze-comunicazione.unisi.it/it","h2","html","","artifacts/journeys/J009_C009_scienze-della-comunicazione/source/SD0019.html","","https://scienze-comunicazione.unisi.it/it","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
"C009","UNI05","SD0019","academic_year","Academic year or edition","essential","confidence=not_observed | course_outlier(missing>=3)","not_observed","not_observed","not_found","not_observed","","","","","","artifacts/journeys/J009_C009_scienze-della-comunicazione/source/SD0019.html","","https://scienze-comunicazione.unisi.it/it","confirmed","","","","","","","","gaia","2026-05-07T13:54:52+02:00"
"C009","UNI05","SD0019","language","Teaching language","essential","confidence=not_observed | course_outlier(missing>=3)","not_observed","not_observed","not_found","not_observed","","","","","","artifacts/journeys/J009_C009_scienze-della-comunicazione/source/SD0019.html","","https://scienze-comunicazione.unisi.it/it","confirmed","","","","","","","","gaia","2026-05-07T13:54:52+02:00"
"C009","UNI05","SD0019","location","Campus / city / location","essential","confidence=not_observed | course_outlier(missing>=3)","not_observed","not_observed","not_found","not_observed","","","","","","artifacts/journeys/J009_C009_scienze-della-comunicazione/source/SD0019.html","","https://scienze-comunicazione.unisi.it/it","corrected","present","linked_official_page","one_click","high","Strutture e sede","https://scienze-comunicazione.unisi.it/it/il-corso/strutture-sede","Auto missed. Real: course-specific nav link ""Strutture e sede"" → /it/il-corso/strutture-sede.","gaia","2026-05-07T13:54:52+02:00"
"C009","UNI05","SD0019","study_plan","Study plan / piano di studi / curriculum / teachings","essential","course_outlier(missing>=3)","present","linked_official_page","one_click","medium","Insegnamenti","/it/studiare/insegnamenti","a","html","","artifacts/journeys/J009_C009_scienze-della-comunicazione/source/SD0019.html","","https://scienze-comunicazione.unisi.it/it","confirmed","","","","","","","","gaia","2026-05-07T13:57:16+02:00"
"C009","UNI05","SD0019","admission_requirements","Access requirements / admission requirements","essential","course_outlier(missing>=3)","present","linked_official_page","one_click","medium","Requisiti di ammissione","/it/il-corso/requisiti-ammissione","a","html","","artifacts/journeys/J009_C009_scienze-della-comunicazione/source/SD0019.html","","https://scienze-comunicazione.unisi.it/it","confirmed","","","","","","","","gaia","2026-05-07T13:57:16+02:00"
"C009","UNI05","SD0019","admission_procedure","Admission or enrolment procedure","essential","confidence=not_observed | course_outlier(missing>=3)","not_observed","not_observed","not_found","not_observed","","","","","","artifacts/journeys/J009_C009_scienze-della-comunicazione/source/SD0019.html","","https://scienze-comunicazione.unisi.it/it","confirmed","","","","","","","","gaia","2026-05-07T13:54:52+02:00"
"C009","UNI05","SD0019","deadlines","Application / enrolment deadlines","essential","confidence=not_observed | course_outlier(missing>=3)","not_observed","not_observed","not_found","not_observed","","","","","","artifacts/journeys/J009_C009_scienze-della-comunicazione/source/SD0019.html","","https://scienze-comunicazione.unisi.it/it","confirmed","","","","","","","","gaia","2026-05-07T13:54:52+02:00"
"C009","UNI05","SD0019","contacts","Contact / tutor / orientation / course office","essential","course_outlier(missing>=3)","present","linked_official_page","one_click","medium","Contatti","/it/il-corso/contatti","a","html","","artifacts/journeys/J009_C009_scienze-della-comunicazione/source/SD0019.html","","https://scienze-comunicazione.unisi.it/it","confirmed","","","","","","","","gaia","2026-05-07T13:57:16+02:00"
"C010","UNI05","SD0091","course_title","Course title","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","[D615] STRATEGIE E TECNICHE DELLA COMUNICAZIONE | Università degli Studi di Siena","https://www.unisi.it/ugov/degree/82714","title|h1","html","","artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/source/SD0091.html","","https://www.unisi.it/ugov/degree/82714","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
"C010","UNI05","SD0091","degree_level","Degree level","essential","confidence=low | location_type=ambiguous | course_outlier(missing>=3)","present","ambiguous","unclear","low","laurea magistrale","https://www.unisi.it/ugov/degree/82714","body","html","keyword found in page text without structural anchor","artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/source/SD0091.html","","https://www.unisi.it/ugov/degree/82714","corrected","present","heading_or_summary","direct","high","Corso di Laurea Magistrale","https://www.unisi.it/ugov/degree/82714","auto ev=""laurea magistrale"" classified ambiguous. Real: structured UGOV field ""Tipo di corso: Corso di Laurea Magistrale"" in metadata table.","gaia","2026-05-07T14:01:14+02:00"
"C010","UNI05","SD0091","academic_year","Academic year or edition","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","Anno Accademico 2025/2026","https://www.unisi.it/ugov/degree/82714","div@div","html","","artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/source/SD0091.html","","https://www.unisi.it/ugov/degree/82714","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
"C010","UNI05","SD0091","language","Teaching language","essential","course_outlier(missing>=3)","present","heading_or_summary","direct","high","Lingua ITALIANO","https://www.unisi.it/ugov/degree/82714","div@div","html","","artifacts/journeys/J010_C010_strategie-e-tecniche-della-comunicazione/source/SD0091.html","","https://www.unisi.it/ugov/degree/82714","confirmed","","","","","","","","gaia","2026-05-07T13:30:25+02:00"
